tieId,matchId,isDoubles,playerId,playerCountry,playerName,fastest1stServe,fastest2ndServe,average1stServe,average2ndServe
W-FC-2021-FLS-A-M-FRA-RTF-01,30248957,false,8159284,FRA,"Burel, Clara",173,156,164,131
W-FC-2021-FLS-A-M-FRA-RTF-01,30248957,false,6028811,RUS,"Alexandrova, Ekaterina",178,165,169,148
W-FC-2021-FLS-A-M-FRA-RTF-01,30248955,false,536053,FRA,"Cornet, Alize",171,142,157,129
W-FC-2021-FLS-A-M-FRA-RTF-01,30248955,false,452797,RUS,"Pavlyuchenkova, Anastasia",177,153,163,140
W-FC-2021-FLS-A-M-FRA-RTF-01,30260019,true,536053,FRA,"Cornet, Alize",161,134,150,133
W-FC-2021-FLS-A-M-FRA-RTF-01,30260019,true,8159284,FRA,"Burel, Clara",155,140,138,123
W-FC-2021-FLS-A-M-FRA-RTF-01,30260019,true,6141046,RUS,"Kudermetova, Veronika",181,151,167,145
W-FC-2021-FLS-A-M-FRA-RTF-01,30260019,true,6914791,RUS,"Samsonova, Liudmila",184,170,171,156
W-FC-2021-FLS-A-M-FRA-CAN-01,30204415,false,536053,FRA,"Cornet, Alize",169,137,155,124
W-FC-2021-FLS-A-M-FRA-CAN-01,30204415,false,854089,CAN,"Marino, Rebecca",193,165,177,135
W-FC-2021-FLS-A-M-FRA-CAN-01,30204413,true,536053,FRA,"Cornet, Alize",163,130,152,123
W-FC-2021-FLS-A-M-FRA-CAN-01,30204413,true,8159284,FRA,"Burel, Clara",171,147,157,121
W-FC-2021-FLS-A-M-FRA-CAN-01,30204413,true,854089,CAN,"Marino, Rebecca",185,142,170,135
W-FC-2021-FLS-A-M-FRA-CAN-01,30204413,true,1157282,CAN,"Dabrowski, Gabriela",186,147,167,131
W-FC-2021-FLS-A-M-RTF-CAN-01,30226797,false,6671220,RUS,"Kasatkina, Daria",179,122,147,111
W-FC-2021-FLS-A-M-RTF-CAN-01,30226797,false,5564857,CAN,"Zhao, Carol",175,166,163,143
W-FC-2021-FLS-A-M-RTF-CAN-01,30225679,false,452797,RUS,"Pavlyuchenkova, Anastasia",178,160,168,143
W-FC-2021-FLS-A-M-RTF-CAN-01,30225679,false,854089,CAN,"Marino, Rebecca",194,155,173,140
W-FC-2021-FLS-A-M-RTF-CAN-01,30237117,true,6141046,RUS,"Kudermetova, Veronika",182,146,169,143
W-FC-2021-FLS-A-M-RTF-CAN-01,30237117,true,6914791,RUS,"Samsonova, Liudmila",195,169,183,162
W-FC-2021-FLS-A-M-RTF-CAN-01,30237117,true,854089,CAN,"Marino, Rebecca",186,152,166,141
W-FC-2021-FLS-A-M-RTF-CAN-01,30237117,true,1157282,CAN,"Dabrowski, Gabriela",179,153,165,140
W-FC-2021-FLS-B-M-AUS-BLR-01,30277153,false,5339380,AUS,"Sanders, Storm",169,149,158,131
W-FC-2021-FLS-B-M-AUS-BLR-01,30277153,false,7909626,BLR,"Hatouka, Yuliya",173,153,160,142
W-FC-2021-FLS-B-M-AUS-BLR-01,30277157,false,1439381,AUS,"Tomljanovic, Ajla",177,159,165,137
W-FC-2021-FLS-B-M-AUS-BLR-01,30277157,false,5611668,BLR,"Sasnovich, Aliaksandra",171,147,156,138
W-FC-2021-FLS-B-M-AUS-BLR-01,30287201,true,6833211,AUS,"Perez, Ellen",174,148,164,138
W-FC-2021-FLS-B-M-AUS-BLR-01,30287201,true,9115981,AUS,"Gadecki, Olivia",180,150,161,143
W-FC-2021-FLS-B-M-AUS-BLR-01,30287201,true,5433204,BLR,"Marozava, Lidziya",170,145,158,137
W-FC-2021-FLS-B-M-AUS-BLR-01,30287201,true,5611668,BLR,"Sasnovich, Aliaksandra",166,137,143,137
W-FC-2021-FLS-B-M-AUS-BEL-01,30225675,false,1667326,AUS,"Gavrilova, Daria",175,173,162,139
W-FC-2021-FLS-B-M-AUS-BEL-01,30225675,false,6747761,BEL,"Minnen, Greet",176,151,166,138
W-FC-2021-FLS-B-M-AUS-BEL-01,30225673,false,5339380,AUS,"Sanders, Storm",175,144,157,132
W-FC-2021-FLS-B-M-AUS-BEL-01,30225673,false,6372443,BEL,"Mertens, Elise",183,156,164,138
W-FC-2021-FLS-B-M-AUS-BEL-01,30237485,true,5339380,AUS,"Sanders, Storm",157,155,141,130
W-FC-2021-FLS-B-M-AUS-BEL-01,30237485,true,6833211,AUS,"Perez, Ellen",170,143,160,135
