playerId,playerCountry,playerName
174619,BEL,"Flipkens, Kirsten"
346808,GER,"Kerber, Angelique"
452797,RUS,"Pavlyuchenkova, Anastasia"
522368,SUI,"Voegele, Stefanie"
536053,FRA,"Cornet, Alize"
541426,CZE,"Hradecka, Lucie"
777947,GER,"Petkovic, Andrea"
840424,USA,"Vandeweghe, Coco"
854089,CAN,"Marino, Rebecca"
893719,ESP,"Suarez Navarro, Carla"
1157282,CAN,"Dabrowski, Gabriela"
1237472,USA,"Stephens, Sloane"
1439381,AUS,"Tomljanovic, Ajla"
1667326,AUS,"Gavrilova, Daria"
5339380,AUS,"Sanders, Storm"
5401234,USA,"Rogers, Shelby"
5433204,BLR,"Marozava, Lidziya"
5438193,GER,"Friedsam, Anna-Lena"
5492221,SUI,"Golubic, Viktorija"
5564857,CAN,"Zhao, Carol"
5611668,BLR,"Sasnovich, Aliaksandra"
5620597,SVK,"Schmiedlova, Anna Karolina"
5626589,ESP,"Sorribes Tormo, Sara"
5679864,ESP,"Parrizas Diaz, Nuria"
5710747,SUI,"Bencic, Belinda"
5845305,CZE,"Krejcikova, Barbora"
5912836,USA,"Collins, Danielle"
6028811,RUS,"Alexandrova, Ekaterina"
6120600,FRA,"Ferro, Fiona"
6141046,RUS,"Kudermetova, Veronika"
6226593,CZE,"Siniakova, Katerina"
6267999,CAN,"Abanda, Francoise"
6372443,BEL,"Mertens, Elise"
6571257,SUI,"Teichmann, Jil"
6597701,BLR,"Shymanovich, Iryna"
6671220,RUS,"Kasatkina, Daria"
6747761,BEL,"Minnen, Greet"
6799970,ESP,"Bolsova Zadoinov, Aliona"
6833211,AUS,"Perez, Ellen"
6869934,USA,"Dolehide, Caroline"
6878902,ESP,"Masarova, Rebeka"
6914791,RUS,"Samsonova, Liudmila"
6923229,SVK,"Kuzmova, Viktoria"
7090168,SVK,"Mihalikova, Tereza"
7101065,BLR,"Lapko, Vera"
7225407,CZE,"Vondrousova, Marketa"
7909626,BLR,"Hatouka, Yuliya"
8159284,FRA,"Burel, Clara"
8689112,GER,"Niemeier, Jule"
9115981,AUS,"Gadecki, Olivia"
11821937,GER,"Schunk, Nastasja Mariana"
