playerId,playerCountry,playerName,fastest1stServe,typeMatchFastest1stServe,order_fastest1stServe,fastest2ndServe,typeMatchFastest2ndServe,order_fastest2ndServe,average1stServe,typeMatchAverage1stServe,order_average1stServe,average2ndServe,typeMatchAverage2ndServe,order_average2ndServe
8159284,FRA,"Burel, Clara",173,singles,36,156,singles,20,164,singles,26,131,singles,43
6028811,RUS,"Alexandrova, Ekaterina",178,singles,27,165,singles,7,169,singles,11,148,singles,5
536053,FRA,"Cornet, Alize",171,singles,38,142,singles,42,157,singles,37,133,doubles,37
452797,RUS,"Pavlyuchenkova, Anastasia",178,singles,27,160,singles,15,168,singles,14,143,singles,11
6141046,RUS,"Kudermetova, Veronika",182,doubles,14,151,doubles,27,169,doubles,11,145,doubles,8
6914791,RUS,"Samsonova, Liudmila",195,doubles,1,170,doubles,3,183,doubles,1,162,doubles,1
854089,CAN,"Marino, Rebecca",194,singles,3,165,singles,7,177,singles,3,141,doubles,19
1157282,CAN,"Dabrowski, Gabriela",186,doubles,10,153,doubles,24,167,doubles,19,140,doubles,21
6671220,RUS,"Kasatkina, Daria",179,singles,24,122,singles,48,153,singles,41,111,singles,48
5564857,CAN,"Zhao, Carol",175,singles,32,166,singles,6,163,singles,30,143,singles,11
5339380,AUS,"Sanders, Storm",175,singles,32,155,doubles,21,158,singles,35,132,singles,40
7909626,BLR,"Hatouka, Yuliya",173,singles,36,153,singles,24,160,singles,33,142,singles,15
1439381,AUS,"Tomljanovic, Ajla",177,singles,30,159,singles,16,165,singles,23,137,singles,32
5611668,BLR,"Sasnovich, Aliaksandra",171,singles,38,148,singles,34,156,singles,38,138,singles,25
6833211,AUS,"Perez, Ellen",174,doubles,35,148,doubles,34,164,doubles,26,138,doubles,25
9115981,AUS,"Gadecki, Olivia",180,doubles,20,150,doubles,30,161,doubles,32,143,doubles,11
5433204,BLR,"Marozava, Lidziya",170,doubles,43,145,doubles,38,158,doubles,35,137,doubles,32
1667326,AUS,"Gavrilova, Daria",175,singles,32,173,singles,2,162,singles,31,139,singles,23
6747761,BEL,"Minnen, Greet",181,singles,16,151,singles,27,170,singles,9,138,singles,25
6372443,BEL,"Mertens, Elise",188,singles,9,161,singles,10,169,singles,11,147,singles,6
6597701,BLR,"Shymanovich, Iryna",181,singles,16,150,singles,30,165,singles,23,134,singles,34
7101065,BLR,"Lapko, Vera",186,doubles,10,145,doubles,38,174,doubles,7,141,doubles,19
174619,BEL,"Flipkens, Kirsten",159,doubles,48,138,doubles,44,152,doubles,44,134,doubles,34
1237472,USA,"Stephens, Sloane",171,singles,38,148,singles,34,153,singles,41,132,singles,40
5679864,ESP,"Parrizas Diaz, Nuria",164,singles,46,139,singles,43,150,singles,46,129,singles,46
5912836,USA,"Collins, Danielle",184,singles,13,161,singles,10,175,singles,6,142,singles,15
5626589,ESP,"Sorribes Tormo, Sara",171,singles,38,138,singles,44,152,singles,44,133,singles,37
840424,USA,"Vandeweghe, Coco",191,doubles,6,145,doubles,38,166,doubles,21,138,doubles,25
6869934,USA,"Dolehide, Caroline",180,doubles,20,134,doubles,46,154,doubles,39,130,doubles,44
6799970,ESP,"Bolsova Zadoinov, Aliona",167,doubles,45,129,doubles,47,150,doubles,46,123,doubles,47
6878902,ESP,"Masarova, Rebeka",195,doubles,1,159,doubles,16,177,doubles,3,149,doubles,4
5401234,USA,"Rogers, Shelby",178,singles,27,158,singles,18,164,singles,26,140,singles,21
6923229,SVK,"Kuzmova, Viktoria",180,singles,20,176,singles,1,168,singles,14,142,singles,15
5620597,SVK,"Schmiedlova, Anna Karolina",182,singles,14,170,singles,3,167,singles,19,132,singles,40
7090168,SVK,"Mihalikova, Tereza",179,doubles,24,161,doubles,10,168,doubles,14,145,doubles,8
893719,ESP,"Suarez Navarro, Carla",168,singles,44,144,doubles,41,154,singles,39,130,singles,44
7225407,CZE,"Vondrousova, Marketa",180,singles,20,154,singles,23,168,singles,14,138,singles,25
777947,GER,"Petkovic, Andrea",171,singles,38,152,singles,26,160,singles,33,144,singles,10
5845305,CZE,"Krejcikova, Barbora",177,singles,30,161,singles,10,166,singles,21,147,singles,6
346808,GER,"Kerber, Angelique",179,singles,24,146,singles,37,153,singles,41,133,singles,37
541426,CZE,"Hradecka, Lucie",193,doubles,4,155,doubles,21,177,doubles,3,143,doubles,11
6226593,CZE,"Siniakova, Katerina",181,doubles,16,158,doubles,18,164,doubles,26,150,doubles,3
5438193,GER,"Friedsam, Anna-Lena",190,doubles,7,164,doubles,9,179,doubles,2,154,doubles,2
8689112,GER,"Niemeier, Jule",190,doubles,7,168,doubles,5,170,doubles,9,142,doubles,15
5492221,SUI,"Golubic, Viktorija",162,singles,47,149,singles,32,149,singles,48,134,doubles,34
5710747,SUI,"Bencic, Belinda",193,singles,4,151,singles,27,168,singles,14,138,singles,25
6571257,SUI,"Teichmann, Jil",185,singles,12,161,singles,10,172,singles,8,139,doubles,23
11821937,GER,"Schunk, Nastasja Mariana",181,doubles,16,149,doubles,32,165,doubles,23,138,doubles,25
